ident,name,type,country_code
SVL,Sevilla,VOR-DME,ES
TAB,Albacete,TACAN,ES
TBC,Talavera,TACAN,ES
TEO,Toledo,NDB,ES
TES,Tenerife Sur,NDB,ES
TFN,Tenerife Norte,VOR-DME,ES
TFS,Tenerife Sur,VOR-DME,ES
TGN,Gran Canaria,TACAN,ES
TGR,Armilla,TACAN,ES
TJA,Torrejon,NDB,ES
TJZ,Torrejon,TACAN,ES
TLD,Toledo,VOR-DME,ES
TLZ,Lanzarote,TACAN,ES
TON,Torralba De Aragon,NDB,ES
TRL,Alcantarilla,TACAN,ES
TSC,Salamanca,TACAN,ES
TVD,Valladolid,TACAN,ES
TX,Tenerife Norte,NDB,ES
VAB,Albacete,VOR-DME,ES
VBZ,Badajoz,VOR-DME,ES
VES,Asturias,VOR-DME,ES
VFD,Vitoria,VOR-DME,ES
VGD,Vitigudino,NDB,ES
VGE,Getafe,VOR,ES
VGO,Vigo,VOR-DME,ES
VI,Vigo,NDB,ES
VIA,Burgos,VOR-DME,ES
VJF,Vejer,VOR-DME,ES
VJZ,Torrejon,VOR-DME,ES
VLA,Villafranca,VOR-DME,ES
VLC,Valencia,VOR-DME,ES
VLD,Valladolid,NDB,ES
VNV,Villanueva,NDB,ES
VON,Vigo,NDB,ES
VR,Gran Canaria,NDB,ES
VRA,Vitoria,VOR-DME,ES
VSJ,Murcia/San Javier,TACAN,ES
VTA,Vitoria,NDB,ES
VTB,Villatobas,VOR-DME,ES
YES,Yeste,VOR-DME,ES
ZAR,Zaragoza,VOR-DME,ES
ZMR,Zamora,VOR-DME,ES
ZRZ,Zaragoza,NDB,ES
ZZA,Zaragoza,TACAN,ES
ZZA,Zaragoza,NDB,ES
AB,Addis Abeba,NDB,ET
ADS,Addis Abeba,VOR-DME,ET
AM,Arba Minch,NDB,ET
AX,Axum,NDB,ET
AY,Dire Dawa,NDB,ET
BD,Bahir Dar,NDB,ET
BL,Bole,NDB,ET
BR,Gambella,NDB,ET
DM,Debre Marcos,NDB,ET
DWA,Dire Dawa,VOR-DME,ET
GM,Gambella,NDB,ET
GWZ,Gawasa,VOR-DME,ET
JM,Jimma,NDB,ET
KT,Jimma,NDB,ET
LA,Lake Awasa,NDB,ET
LLB,Lalibella,NDB,ET
MK,Mekele,NDB,ET
QHA,Mekele,VOR-DME,ET
TN,Bahir Dar,NDB,ET
AKU,Akujarvi,NDB,FI
ANT,Antoni,VOR-DME,FI
ENO,Enodak,VOR-DME,FI
ESP,Espoo,NDB,FI
ESS,Esse,NDB,FI
FR,Foxtrot Romero,NDB,FI
GDY,Godby,NDB,FI
H,Hotel,NDB,FI
HAL,Halli,VOR-DME,FI
HEK,Heka,NDB,FI
HEL,Helsinki,VOR-DME,FI
HET,Hetta,NDB,FI
JNS,Josie,VOR-DME,FI
JOE,Joensuu,NDB,FI
JP,Juliett-Papa,NDB,FI
JR,Juliett-Romeo,NDB,FI
KAD,Kadis,DME,FI
KAJ,Kajaani,NDB,FI
KAU,Kauhava,VOR-DME,FI
KEM,Kemi,NDB,FI
KIT,Kittila,NDB,FI
KLA,Kantola,VOR-DME,FI
KNI,Kainuu,VOR-DME,FI
KNS,Kaunis,VOR-DME,FI
KOR,Korso,NDB,FI
KRU,Kruunu,NDB,FI
KS,Kilo-Sierra,NDB,FI
KUR,Kurki,NDB,FI
LAA,Laanila,NDB,FI
LIE,Lieto,NDB,FI
LNE,Luonet,VOR-DME,FI
MAR,Marie,VOR-DME,FI
ORM,Orimaa,VOR-DME,FI
OUK,Oulu,VOR-DME,FI
PA,Papa-Alfa,NDB,FI
PIR,Pirkka,VOR-DME,FI
POR,Pori,NDB,FI
PRI,Previk,VOR-DME,FI
PSJ,Seinajoki,NDB,FI
PVO,Porvoo,VOR-DME,FI
RAN,Ranta,NDB,FI
RO,Romeo-Oscar,NDB,FI
ROI,Rovani,VOR-DME,FI
RUS,Rusko,VOR-DME,FI
SEP,Seppi,NDB,FI
SK,Sierra-Kilo,NDB,FI
SUS,Susi,NDB,FI
SVL,Linna,VOR-DME,FI
TOR,Toramo,NDB,FI
TP,Tango-Papa,NDB,FI
U,Uniform,NDB,FI
UTT,Utti,VOR-DME,FI
VA,Victor-Alfa,NDB,FI
VAS,Vaasa,VOR-DME,FI
VEH,Vehkaa,VOR-DME,FI
VIL,Vilmas,VOR-DME,FI
VS,Vesilahti,NDB,FI
VTI,Vihti,VOR-DME,FI
AL,Malolo,NDB,FJ
LB,Labasa,VOR-DME,FJ
LK,Lakeba,NDB,FJ
MI,Momi,NDB,FJ
MT,Matei,NDB,FJ
NA,Nausori,VOR-DME,FJ
NN,Nadi,VOR-DME,FJ
NO,Sawani,NDB,FJ
NV,Navua,NDB,FJ
OI,Ono-I-Lau,NDB,FJ
RM,Rotuma,NDB,FJ
VK,Navakai,NDB,FJ
MTP,Mount Pleasant,VOR,FK
MTP,Mount Pleasant,TACAN,FK
SA,Stanley,NDB,FK
PNI,Pohnpei,NDB-DME,FM
TKK,Truk,NDB-DME,FM
UKS,Kosrae,NDB-DME,FM
YP,Yap,NDB-DME,FM
AB,Akraberg,NDB,FO
MY,Myggenes,NDB,FO
NL,Nolso,NDB,FO
VG,Vagar,NDB,FO
ABB,Abbeville,VOR-DME,FR
AGN,Agen,VOR-DME,FR
AJO,Ajaccio,VOR-DME,FR
ALM,Aix Les Milles,NDB,FR
AMB,Amboise,VOR-DME,FR
AMU,Amberieu,TACAN,FR
ANG,Angers,VOR,FR
ARE,Monts D Arree,VOR,FR
ATN,Autun,VOR-DME,FR
AVD,Avord,TACAN,FR
AVD,Avord,NDB,FR
AVN,Avignon,VOR,FR
AZR,Nice Cote D Azur,VOR-DME,FR
BD,Bordeaux,NDB,FR
BDX,Bordeaux,TACAN,FR
BE,Bordeaux,NDB,FR
BGC,Bergerac,NDB,FR
BGP,Guipavas,NDB,FR
BLM,Bale Mulhouse,VOR-DME,FR
BMC,Bordeaux,VOR-DME,FR
BN,Bale Mulhouse,NDB,FR
BNE,Boulogne-sur-Mer,VOR,FR
BRY,Bray-sur-Seine,VOR-DME,FR
BSN,Boursonne,VOR-DME,FR
BST,Lanveoc,TACAN,FR
BST,Lanveoc,NDB,FR
BT,Le Bourget,VOR-DME,FR
BTA,Bastia,VOR-DME,FR
BTZ,Biarritz,VOR-DME,FR
BVS,Beauvais,VOR,FR
BZ,Biarritz,NDB,FR
CAA,Cazaux,TACAN,FR
CAA,Cazaux,NDB,FR
CAN,Caen,VOR,FR
CAV,Vatry,VOR-DME,FR
CBY,Chambery,VOR-DME,FR
CDN,Ch̢teaudun,NDB,FR
CFA,Clermont,VOR-DME,FR
CGC,Cognac,TACAN,FR
CGN,Charles de Gaulle,VOR-DME,FR
CGS,Cagnes Sur Mer,VOR-DME,FR
CHW,Chartres,VOR-DME,FR
CLM,Coulommiers,VOR-DME,FR
CLR,Colmar,TACAN,FR
CM,Caumont,NDB,FR
CMB,Cambrai,VORTAC,FR
CNA,Cognac,VOR-DME,FR
CNE,Caen,NDB,FR
CNM,Cannes,VOR,FR
CPE,Compi̬gne,VOR-DME,FR
CRL,Creil,VORTAC,FR
CSM,Castelsarrasin Moissac,NDB,FR
CTL,Ch̢tillon-sur-Marne,VOR-DME,FR
CTX,Ch̢teauroux,NDB,FR
CV,Calvi,NDB,FR
DA,Ales,NDB,FR
DGN,Digne,VOR,FR
DIJ,Dijon,TACAN,FR
DIN,Dinard,VOR-DME,FR
DJL,Dijon,VOR-DME,FR
DPE,Dieppe,VOR,FR
DVL,Deauville,VOR,FR
EPL,Epinal,VOR,FR
EPR,Epernon,VOR-DME,FR
EVX,Evreux,VORTAC,FR
FGI,Figari,VOR-DME,FR
FJR,Mediterranee,VOR-DME,FR
FXE,Europa,NDB,FR
GAI,Gaillac,VOR,FR
GL,Nantes,NDB,FR
GTQ,Grostenquin,VOR-DME,FR
GU,Guipavas,NDB,FR
HOL,Villacoublay,NDB,FR
HR,Hericourt,NDB,FR
HYE,Hyeres,TACAN,FR
ING,Saint-Inglevert,NDB,FR
IS,Ajaccio/Campo Dell Oro,NDB,FR
ITR,Istres,TACAN,FR
LCA,La Chatre,VOR,FR
LDV,Landivisiau,TACAN,FR
LEQ,Lesquin,VOR-DME,FR
LEZ,Nice,NDB,FR
LGL,L'Aigle,VOR,FR
LM,Le Mans,NDB,FR
LMG,Limoges,VOR-DME,FR
LNP,Tour Du Pin,VOR,FR
LOR,Lorient,TACAN,FR
LSE,Lyon/Saint Exupery,VOR-DME,FR
LTP,La Tour Du Pin,VOR-DME,FR
LU,Le Luc,NDB,FR
LUC,Le Luc,VOR-DME,FR
LUL,Luxeuil,VOR,FR
LXI,Luxeuil,TACAN,FR
LXI,Luxeuil,NDB,FR
MAR,Marseille/Provence,NDB,FR
MBY,Moulins/Montbeugny,VOR,FR
MC,Montlucon,NDB,FR
MDM,Mont De Marsan,TACAN,FR
MEN,Mende,VOR-DME,FR
MET,Metz,TACAN,FR
MJ,Marseille/Provence,NDB,FR
ML,Marseille/Provence,DME,FR
MLN,Melun,VOR-DME,FR
MLX,Morlaix,NDB,FR
MM,Montceau-Les-Mines,NDB,FR
MMD,Montmedy,VOR,FR
MOU,Moulins,VOR-DME,FR
MRM,Marseille/Provence,VOR-DME,FR
MS,Marseille/Provence,NDB,FR
MT,Saint Nazaire/Montoir,NDB,FR
MTD,Montdidier,VOR,FR
MTG,Martigues,VOR-DME,FR
MTL,Montelimar,VOR-DME,FR
MUS,Nice Cote D Azur,NDB,FR
NAY,Nancy,TACAN,FR
NB,Bordeaux,NDB,FR
NC,Nice/Cote D'Azur,NDB,FR
NEV,Nevers,VOR,FR
NG,Nimes/Garons,NDB,FR
NIM,Nimes,TACAN,FR
NIZ,Nice,VOR-DME,FR
NTS,Nantes,VOR-DME,FR
OAN,Orl̩ans,TACAN,FR
OAN,Orl̩ans,NDB,FR
OB,Marseille/Provence,NDB,FR
OL,Orly,VOR-DME,FR
ORG,Orange,TACAN,FR
ORG,Orange,NDB,FR
PGS,Charles de Gaulle,VOR-DME,FR
PI,Poitiers,NDB,FR
POI,Poitiers,VOR,FR
PON,Pontoise,VOR,FR
PPG,Perpignan,VOR-DME,FR
PTV,Pithiviers,VOR,FR
QPR,Quimper,VOR-DME,FR
RBT,Rambouillet,VOR-DME,FR
REM,Reims,VORTAC,FR
REN,Rennes,VOR-DME,FR
RLP,Rolampont,VOR-DME,FR
ROA,Roanne,VOR,FR
ROU,Rouen,VOR,FR
RQ,Quimper,NDB,FR
RTN,Romorantin,NDB,FR
SAL,Salon,TACAN,FR
SAU,Sauveterre,VOR,FR
SAV,Saverne,VOR-DME,FR
SCL,Saint Christol,NDB,FR
SDI,Saint-Dizier,TACAN,FR
SDI,Saint-Dizier,NDB,FR
SFC,Saint Flour/Coltines,VOR,FR
SNE,Senetose,NDB,FR
SR,Saumur,NDB,FR
STP,St.tTopez,VOR-DME,FR
STR,Strasbourg,VOR-DME,FR
SZA,Solenzara,TACAN,FR
SZA,Solenzara,NDB,FR
TA,Villacoublay,NDB,FR
TAN,Lahitte,VOR,FR
TBO,Tarbes,VOR,FR
TH,Villacoublay,NDB,FR
TIS,Thiers,VOR-DME,FR
TL,Tarbes,NDB,FR
TLN,Hyeres,NDB,FR
TLU,Toulouse/Francazal,TACAN,FR
TOE,Toulouse,NDB,FR
TOU,Toulouse,VOR-DME,FR
TRO,Troyes,VOR,FR
TS,Toulouse,NDB,FR
TSU,Toussus,VOR,FR
TUR,Tours,TACAN,FR
TUR,Tours,NDB,FR
TW,Toulouse,NDB,FR
VE,Chabeuil,NDB,FR
VMP,Ch̢teaudun,VOR-DME,FR
VNE,Vienne,VOR,FR
YN,La Roche Sur Yon,NDB,FR
FRV,Franceville,VOR-DME,GA
FRV,Franceville,NDB,GA
IC,Mitzic,NDB,GA
IM,Bitam,NDB,GA
KL,Koulamoutou,NDB,GA
KO,Makokou,NDB,GA
LB,Lambarene,NDB,GA
LN,Libreville,NDB,GA
LR,Lambarene,VOR,GA
LV,Libreville,VOR-DME,GA
LV,Lastourville,NDB,GA
MED,Medouneu,NDB,GA
ML,Mouilla,NDB,GA
ND,Moanda,NDB,GA
OE,Oyem,VOR-DME,GA
OJ,Okondja,NDB,GA
OY,Oyem,NDB,GA
PG,Port Gentil,VOR,GA
TB,Tchibanga,VOR,GA
TC,Tchibanga,NDB,GA
ADN,Aberdeen,VOR-DME,GB
AP,Aberporth,NDB,GB
AQ,Aberdeen,NDB,GB
ATF,Aberdeen/Dyce,NDB,GB
BBA,Benbecula,NDB,GB
BCL,Benbecula,DME,GB
BCN,Brecon,VOR-DME,GB
BDN,Boscombe Down,TACAN,GB
BEL,Belfast,VOR-DME,GB
BEN,Benbecula,VOR-DME,GB
BFD,Broadford,NDB,GB
BHD,Berry Head,VOR-DME,GB
BHX,Birmingham,NDB,GB
BIA,Bournemouth,NDB,GB
BIG,Biggin,VOR-DME,GB
BKL,Ballykelly,TACAN,GB
BKY,Barkway,VOR-DME,GB
BLC,Blackbushe,DME,GB
BLK,Blackbushe,NDB,GB
BNN,Bovingdon,VOR-DME,GB
BOU,Bourn,NDB,GB
BPK,Brookmans Park,VOR-DME,GB
BRI,Bristol,NDB,GB
BRR,Barra,NDB,GB
BSO,Benson,TACAN,GB
BUR,Burnham,NDB,GB
BV,Brough,NDB,GB
BZ,Brize Norton,NDB,GB
BZN,Brize Norton,TACAN,GB
CAE,Caernarfon,NDB,GB
CAM,Cambridge,NDB,GB
CBL,Campbeltown,NDB,GB
CBN,Cumbernauld,NDB-DME,GB
CFD,Cranfield,VOR,GB
CGY,Coningsby,TACAN,GB
CHT,Chiltern,NDB,GB
CLN,Clacton,VOR-DME,GB
COM,Compt0n Abbas,NDB,GB
CPT,Compton,VOR-DME,GB
CTM,Cottesmore,TACAN,GB
CWL,Cranwell,NDB,GB
CWZ,Cranwell,TACAN,GB
DCS,Dean Cross,VOR-DME,GB
DET,Detling,VOR-DME,GB
DND,Dundee,NDB,GB
DTY,Daventry,VOR-DME,GB
DVR,Dover,VOR-DME,GB
EDN,Edinburgh,NDB,GB
EKN,Enniskillen,NDB,GB
EPM,Epsom,NDB,GB
FFA,Fairford,TACAN,GB
FNL,Fenland,NDB,GB
FNY,Doncaster,NDB,GB
FOS,Fairoaks,NDB,GB
FRK,Fairoaks,DME,GB
GAM,Gamston,VOR-DME,GB
GE,Gatwick,NDB,GB
GOS,Gloucestershire,DME,GB
GOW,Glasgow,VOR-DME,GB
GST,Gloucestershire,NDB,GB
GWC,Goodwood,VOR-DME,GB
GY,Gatwick,NDB,GB
HAV,Haverfordwest,NDB,GB
HDW,Haverfordwest,DME,GB
HEN,Henton,NDB,GB
HON,Honiley,VOR-DME,GB
INS,Inverness,VOR-DME,GB
IOF,Flotta,NDB,GB
ISV,Stornoway,DME,GB
ISY,Islay,DME,GB
IVR,Inverness,NDB,GB
IW,Bembridge,NDB,GB
KMB,Kemble,NDB,GB
KS,Kinloss,NDB,GB
KSS,Kinloss,TACAN,GB
KWL,Kirkwall,VOR-DME,GB
LA,Lyneham,NDB,GB
LAM,Lambourne,VOR-DME,GB
LAY,Islay,NDB,GB
LBA,Leeds Bradford,NDB,GB
LCY,City,NDB,GB
LDY,Lydd,DME,GB
LE,Leicester,NDB,GB
LEE,Leeming,TACAN,GB
LIC,Lichfield,NDB,GB
LKH,Lakenheath,TACAN,GB
LND,Lands End,VOR-DME,GB
LNS,Longside,NDB,GB
LON,London,VOR-DME,GB
LOO,Linton On Ouse,TACAN,GB
LSH,Lashenden,NDB-DME,GB
LUK,Leuchars,TACAN,GB
LYD,Lydd,VOR-DME,GB
LYE,Lyneham,TACAN,GB
LYX,Lydd,NDB,GB
MAC,Machrihanish,VOR-DME,GB
MAM,Marham,TACAN,GB
MAY,Mayfield,VOR-DME,GB
MCT,Manchester,VOR-DME,GB
MID,Midhurst,VOR-DME,GB
MLD,Mildenhall,TACAN,GB
NEW,Newcastle,VOR-DME,GB
NGY,New Galloway,NDB,GB
NL,Norwich,NDB,GB
NN,Northampton,NDB,GB
NOT,Nottingham,NDB,GB
NT,Newcastle,NDB,GB
OCK,Ockham,VOR-DME,GB
ODH,Odiham,TACAN,GB
OF,Filton,NDB,GB
OTR,Ottringham,VOR-DME,GB
OX,Oxford,NDB,GB
OY,Aldergrove,NDB,GB
PIK,Prestwick,NDB,GB
POL,Pole Hill,VOR-DME,GB
PTH,Perth,VOR,GB
PW,Prestwick,NDB,GB
PY,Plymouth,NDB,GB
RCH,Rochester,NDB,GB
RDL,Redhill,NDB,GB
RWY,Isle Of Man,NDB,GB
SAB,St.aAbs,VOR-DME,GB
SAM,Southampton,VOR-DME,GB
SAT,St Athan,TACAN,GB
SAY,Stornoway,NDB-DME,GB
SBH,Sumburgh,NDB,GB
SBY,Strubby,NDB,GB
SFD,Seaford,VOR-DME,GB
SFH,Sheffield City,DME,GB
SH,Shobdon,NDB,GB
SHD,Scotstown Head,NDB,GB
SLP,Sleap,NDB,GB
SM,St Mawgan,NDB,GB
SMF,Sheffield City,NDB,GB
SMG,St Mawgan,TACAN,GB
SS,Scatsta,NDB,GB
SSD,Stansted,NDB,GB
STM,St Marys,NDB,GB
STN,Stornoway,VOR-DME,GB
STU,Strumble,VOR-DME,GB
SUM,Sumburgh,VOR-DME,GB
SWB,Shawbury,VOR-DME,GB
SWN,Swansea,NDB,GB
SWZ,Swansea,DME,GB
TD,Teesside,NDB,GB
TIR,Tiree,VOR-DME,GB
TL,Tingwall,NDB,GB
TLA,Talla,VOR-DME,GB
TNL,Tatenhill,NDB,GB
TNT,Trent,VOR-DME,GB
TRN,Turnberry,VOR-DME,GB
UW,Edinburgh,NDB,GB
VLN,Yeovilton,TACAN,GB
VYL,Valley,TACAN,GB
WAD,Waddington,TACAN,GB
WAL,Wallasey,VOR-DME,GB
WBA,Wolverhampton,NDB,GB
WCO,Westcott,NDB,GB
WFD,Manchester Woodford,NDB,GB
WHI,Whitegate,NDB,GB
WIK,Wick,VOR-DME,GB
WIT,Wittering,TACAN,GB
WL,Barrow,NDB,GB
WOD,Woodley,NDB,GB
WOL,Wolverhampton,DME,GB
WPL,Welshpool,NDB-DME,GB
WTN,Warton,TACAN,GB
WTN,Warton,NDB,GB
WTZ,Wattisham,TACAN,GB
GND,Point Salines,VOR-DME,GD
AV,Sukhumi,NDB,GE
BT,Ali,NDB,GE
DA,Gali,NDB,GE
DF,Mukhrani,NDB,GE
KTS,Kutaisi,VOR-DME,GE
LU,Batumi,NDB,GE
N,Tbilisi,NDB,GE
NA,Tbilisi,NDB,GE
OZ,Gori,NDB,GE
TBS,Tbilisi,VOR-DME,GE
TIG,Kutaisi,NDB,GE
TO,Tsnori,NDB,GE
UY,Kutaisi,NDB,GE
V,Lochini,NDB,GE
VP,Tbilisi,NDB,GE
CP,Camopi,NDB,GF
CW,St Laurent Du Maroni,NDB,GF
CYR,Cayenne,VOR-DME,GF
ELI,St Elie,NDB,GF
FXC,Cayenne,NDB,GF
MP,Maripasoula,NDB,GF
SU,Saul,NDB,GF
ALD,Alderney,NDB,GG
GUR,Guernsey,VOR-DME,GG
AA,Accra,NDB,GH
ACC,Accra,VOR-DME,GH
KL,Kumasi,NDB,GH
KSI,Kumasi,VOR-DME,GH
PAM,Pampa,VOR-DME,GH
SN,Sunyani,NDB,GH
TI,Takoradi,NDB,GH
TLE,Tamale,VOR-DME,GH
GBR,Gibraltar,TACAN,GI
AA,Aasiaat,NDB,GL
AS,Aasiaat,DME,GL
CH,Christianshaab,NDB,GL
CP,Constable Pynt,NDB,GL
DA,Kulusuk,NDB,GL
EM,Egedesminde,NDB,GL
FH,Frederikshab,NDB,GL
GH,Godthab/Nuuk,NDB,GL
GN,Godthaab,DME,GL
HB,Holsteinsborg,NDB,GL
JA,Jacobshavn,DME,GL
JH,Qaqortoq,NDB,GL
JV,Ilulissat,NDB,GL
KS,Fiskenaesset,NDB,GL
KU,Kook Islands,NDB,GL
MA,Maniitsoq,NDB,GL
MAR,Marmorilik,NDB,GL
MS,Maniitsoq,DME,GL
MV,Mesters Vig,NDB,GL
NA,Narsarsuaq,NDB,GL
NK,Godthab/Nuuk,NDB,GL
NN,Nanortalik,NDB,GL
NQ,Narsarsuaq,DME,GL
NS,Narsaq,NDB,GL
OZN,Prins Christian Sund,NDB,GL
QA,Uummannaq,DME,GL
QN,Qaanaaq,DME,GL
QQ,Qaanaaq,NDB,GL
QT,Godthab/Nuuk,NDB,GL
SF,Sondre Stromfjord,NDB,GL
SI,Simiutaq,NDB,GL
SM,Sisimiut,NDB,GL
SS,Sisimiut,DME,GL
ST,Sukkertoppen,NDB,GL
THT,Thule,VORTAC,GL
UP,Upernavik,NDB,GL
UU,Uummannaq,NDB,GL
BJ,Banjul,VOR-DME,GM
ND,Banjul,NDB,GM
CY,Conakry,NDB,GN
FRH,Faranah,VOR,GN
GIA,Conakry,VOR-DME,GN
GK,Gbenko,NDB,GN
KAM,Kamsar,NDB,GN
KN,Kankan,NDB,GN
KR,Conakry,NDB,GN
KU,Kissidougou,NDB,GN
LB,Labe,NDB,GN
MA,Macenta,NDB,GN
NZ,Nzerekore,NDB,GN
OK,Boke,NDB,GN
SB,Sambailo,NDB,GN
SG,Sangaredi,NDB,GN
SI,Siguiri,NDB,GN
AR,Le Raizet,NDB,GP
MG,Marie Galante,NDB,GP
PPR,Pointe A Pitre,VOR-DME,GP
PTP,Pointe A Pitre,NDB,GP
BL,Malabo,NDB,GQ
BT,Bata,NDB,GQ
MBO,Malabo,VOR-DME,GQ
PA,Malabo,NDB,GQ
AGH,Anchialos,VOR-DME,GR
AKT,Preveza/Aktion,VOR-DME,GR
ALX,Alexandroupolis,VOR-DME,GR
AML,Andravida,TACAN,GR
AML,Amalias,NDB,GR
ANL,Nea Anchialos,TACAN,GR
ARA,Araxos,VOR-DME,GR
ARX,Araxos,TACAN,GR
ATV,Athinai,VOR-DME,GR
DDM,Didimon,VOR-DME,GR
DEK,Dekelia,NDB,GR
EGN,Aigina,NDB,GR
ELF,Elefsis,TACAN,GR
FSK,Fiska,VOR-DME,GR
GAR,Garitsa,VOR-DME,GR
GDA,Alexandria,NDB,GR
HER,Iraklion,NDB,GR
HOS,Chios,VOR-DME,GR
IKA,Ikaria,NDB,GR
IOA,Ioannina,NDB,GR
IRA,Iraklion,VOR-DME,GR
KAM,Kalamata,VOR-DME,GR
KAO,Kassos,NDB,GR
KAS,Kastoria,VOR-DME,GR
KEA,Kea,VOR-DME,GR
KEK,Kerkira,NDB,GR
KFN,Kefallinia,VOR-DME,GR
KHR,Chrisoupolis,NDB,GR
KHZ,Astypalaia,NDB,GR
KLI,Kasteli,TACAN,GR
KLM,Kalamata,TACAN,GR
KOR,Korinthos,NDB,GR
KOS,Kos,VOR-DME,GR
KOZ,Kozani,VOR-DME,GR
KPL,Kavala,VOR-DME,GR
KRC,Karpathos,NDB,GR
KRK,Kerkira,VOR-DME,GR
KRN,Kotroni,TACAN,GR
KRO,Karistos,VOR-DME,GR
KRP,Kavala,TACAN,GR
KTH,Kithira,VOR-DME,GR
KTR,Kithira,TACAN,GR
KVR,Kavouri,NDB,GR
KZO,Kastelorizo,NDB,GR
LAR,Larisa,TACAN,GR
LMN,Limnos,TACAN,GR
LMO,Limnos,VOR-DME,GR
LSA,Larisa,NDB,GR
LSV,Lesvos,VOR-DME,GR
LVO,Lesvos,NDB,GR
MES,Mesta,VOR-DME,GR
MGR,Megara,NDB,GR
MIK,Mikra,TACAN,GR
MIL,Milos,VOR-DME,GR
MKA,Mikra,TACAN,GR
MKN,Mikonos,VOR-DME,GR
MKR,Mikra,VOR-DME,GR
MLN,Mitilini,VOR-DME,GR
MLO,Milos,NDB,GR
MLS,Milos,TACAN,GR
NAN,Nea Anchialos,NDB,GR
PAK,Preveza,NDB,GR
PAO,Paros,NDB,GR
PAR,Paradisi,VOR-DME,GR
PLH,Paleochora,VOR-DME,GR
RDS,Rodos,VOR-DME,GR
RKL,Iraklion,TACAN,GR
ROD,Rodos,TACAN,GR
ROS,Rodos,NDB,GR
RPA,Karpathos,TACAN,GR
SAM,Samos,VOR-DME,GR
SAN,Santorini,TACAN,GR
SAT,Eleftherios Venizelos,VOR-DME,GR
SHT,Sitia,VOR-DME,GR
SIT,Sitia,VOR-DME,GR
SKC,Skiathos,NDB,GR
SKL,Skopelos,TACAN,GR
SKP,Skopelos,VOR-DME,GR
SKS,Skiros,VOR-DME,GR
SKY,Skyros,TACAN,GR
SNI,Santorini,VOR-DME,GR
STV,Stefanovikion,VOR,GR
SUD,Souda,TACAN,GR
SUD,Chania,VOR-DME,GR
SUN,Sounion,NDB,GR
SYR,Syros,NDB,GR
TGG,Tanagra,VOR-DME,GR
TGR,Tanagra,TACAN,GR
THR,Thira,NDB,GR
THS,Thessaloniki,NDB,GR
TIM,Timbakion,TACAN,GR
TNG,Tanagra,NDB,GR
TPO,Tripolis,TACAN,GR
TRL,Tripolis,VOR-DME,GR
TSL,Thessaloniki,VOR-DME,GR
YNN,Ioannina,VOR-DME,GR
ZAK,Zakinthos,VOR-DME,GR
AUR,La Aurora,VOR-DME,GT
BAR,Puerto Barrios,NDB,GT
GUA,Guatemala City,NDB,GT
IOS,Puerto Barrios,VOR-DME,GT
IZP,Iztapa,NDB,GT
POP,Poptun,NDB,GT
RAB,Rabinal,VOR-DME,GT
REU,Retalhuleu,NDB,GT
RUB,Rubelsanto,NDB,GT
SGA,San Jose,NDB,GT
SJO,San Jose,VOR-DME,GT
TIK,Tikal,VOR-DME,GT
AJA,Mt Macajna,NDB,GU
UAM,Andersen,TACAN,GU
UNZ,Nimitz,VORTAC,GU
BIS,Bissau/Oswaldo Vieira,VOR-DME,GW
KAI,Kaieteur,NDB,GY
KAM,Kamarang,NDB,GY
TIM,Timehri,VOR-DME,GY
UIT,Timehri,NDB,GY
CH,Cheung Chau,VOR-DME,HK
HKG,Cape D Aguilar,NDB,HK
LC,Lam Chau,NDB,HK
LKC,Lung Kwu Chau,VOR-DME,HK
SMT,Siu Mo To,VOR-DME,HK
TH,Tathong Point,VOR-DME,HK
BTO,Bonito,VOR-DME,HN
CTL,Punta Castilla,NDB,HN
ESC,Soto Cano,VORTAC,HN
LCE,La Ceiba,NDB-DME,HN
LMS,La Mesa,VOR-DME,HN
PIC,Picacho,NDB,HN
PLP,Puerto Lempira,NDB,HN
ROA,Roatan,VOR-DME,HN
TNT,Toncontin,VOR-DME,HN
BO,Bokanjac,NDB,HR
BRZ,Breza,NDB,HR
CE,Cepin,NDB,HR
CRE,Cres,NDB,HR
CV,Dubrovnik,NDB,HR
DBK,Dubrovnik,VOR-DME,HR
DVN,Drvenik,NDB,HR
GR,Dubrovnik,NDB,HR
HUM,Hum,NDB,HR
IZA,Iza,DME,HR
KAV,Kavran,NDB,HR
KLP,Kolocep,NDB,HR
KO,Kozala,NDB,HR
LOS,Losinj,NDB,HR
OSJ,Osijek,NDB,HR
PIS,Pisarovina,NDB,HR
PLA,Pula,NDB,HR
PUL,Pula,VOR-DME,HR
RI,Rijeka,NDB,HR
RJK,Rijeka,VOR-DME,HR
SAL,Sali,NDB,HR
SK,S.kKaljevec,NDB,HR
SPL,Split,VOR-DME,HR
TRI,Trogir,NDB,HR
UNA,Udbina,NDB,HR
VAR,Varazdin,NDB,HR
VBA,Barna,VOR-DME,HR
VG,Velika Gorica,NDB,HR
VRS,Vrsar,NDB,HR
ZAG,Zagreb,VOR-DME,HR
ZDA,Zadar,VOR-DME,HR
ZK,Zadar,NDB,HR
ZRA,Kakma,NDB,HR
CAY,Cayes,NDB,HT
HCN,Cap Haitien,VOR,HT
HHP,Port Au Prince,NDB,HT
JRM,Jeremie,NDB,HT
OBN,Obleon,VOR-DME,HT
