ident,name,country_code,airport
CSTH,CHOPPERS SOUTH,AU,
CWST,CHOPPERS WEST,AU,
CIH,CID HARBOUR,AU,
CYB,CITY BEACH,AU,
CEN,CLEVEDON,AU,
CVD,CLEVELAND,AU,
CFI,CLIFFY ISLAND,AU,
CLS,CLIFTON SPRINGS,AU,
CGH,CLONAGH STN,AU,
CLOY,CLONEYS CREEK,AU,
COBA,COBAKI,AU,
CKT,COCKATOO,AU,
CBI,COLBINABBIN,AU,
CGE,COLLINGULLIE,AU,
CONG,COMERONG ISLAND,AU,
CJN,CONARA JUNCTION,AU,
CGM,CONDONG MILL,AU,
CBYC,COOBY CREEK RESV,AU,
CIS,COOK ISLAND,AU,
CLMN,COOLAMON,AU,
CMDR,COOLMUNDA RESV,AU,
COOL,COOLUM HI-RISE,AU,
CORO,COOROY,AU,
CPL,COPPERLODE DAM,AU,
CPNG,COPPINS CROSSING,AU,
CVR,CORIN RESV,AU,
COSS,COSSACK,AU,
COTR,COTTER,AU,
CTE,COTTESLOE,AU,
COWI,COW ISLAND,AU,
COWR,COWWARR,AU,
CML,CRADLE MOUNTAIN LODGE,AU,
CBV,CRAIGBOURNE RESV,AU,
CGB,CRAIGIEBURN OVERPASS,AU,
CRAY,CRAYFISH,AU,
CREM,CREMORNE,AU,
CES,CRESSY,AU,
CWK,CRESWICK,AU,
CUL,CRONULLA,AU,
CRPC,CROPPA CREEK,AU,
CNT,CROWS NEST,AU,
CGD,CUDGEN HEADLAND,AU,
CCN,CULCAIRN,AU,
DAIN,DAINTREE,AU,
DLMO,DALMORE DOWNS,AU,
DRY,DALRYE,AU,
DMW,DAM WALL,AU,
DARL,DARLIMURA,AU,
DHH,DARLING HARBOUR,AU,
DND,DARWIN RIVER DAM,AU,
DBO,DAYBORO,AU,
DFD,DAYLESFORD,AU,
DGY,DE GREY HS,AU,
DSS,DEDERANG SUBSTATION,AU,
DPW,DEEP WELL,AU,
DEL,DELORAINE,AU,
DNP,DENHAM PASSAGE,AU,
DWB,DERWENT BRIDGE,AU,
DVM,DEVILS MARBLES,AU,
DIBE,DICKY BEACH,AU,
DODI,DODDS ISLAND,AU,
DLPT,DOLLS POINT,AU,
DSN,DONCASTER SHOPPINGTOWN,AU,
DOP,DONNINGTON AIRPARK,AU,
DOOM,DOOMBEN RACECOURSE,AU,
DRO,DORRIGO,AU,
DCIS,DOUBLE CONE ISLAND,AU,
DOU,DOUBLE ISLAND,AU,
DLP,DOUBLE ISLAND PT,AU,
DBPT,DOUBLE PT,AU,
DRLD,DREAMWORLD,AU,
DRM,DROMANA,AU,
DRP,DROUGHTY PT,AU,
DRN,DROUIN,AU,
DCRK,DRY CREEK,AU,
DAG,DUARINGA,AU,
DUB,DUBLIN,AU,
DLY,DUNALLEY,AU,
DGN,DUNGOWAN,AU,
DUWN,DUNGOWAN DAM,AU,
DUA,DURI GAP,AU,
DMT,DURI MT,AU,
DONG,DURONG,AU,
DTON,DUTTON,AU,
EAN,EAGLE HAWK NECK,AU,
EARH,EARL HILL,AU,
EARV,EARLVILLE,AU,
EAM,EAST ARM,AU,
EGT,EAST GRETA,AU,
ETP,EAST PT,AU,
EDP,EDDYSTONE PT,AU,
EDT,EDMONTON,AU,
ELDO,ELDORADO,AU,
ERB,ELIZABETH RIVER BRIDGE,AU,
EMY,EMILY GAP,AU,
EDOR,ENDEAVOUR REEF,AU,
EPPG,EPPING,AU,
ERSK,ERSKINEVILLE OVAL,AU,
ETTA,ETTAMOGAH PUB,AU,
EMI,EUMUNDI,AU,
EWI,EWANINGA,AU,
EMD,EWEN MADDOCK DAM,AU,
FCP,FALSE CAPE,AU,
FHS,FARRER HIGH SCHOOL,AU,
FDP,FEDERATION PEAK,AU,
FNVL,FERNVALE,AU,
FLDI,FIELD ISLAND,AU,
FISH,FISHERMANS ISLAND,AU,
FSHR,FISHERMANS PARADISE,AU,
FIT,FITNESS CAMP,AU,
