ident,name,country_code,airport
RVTN,RIVERTON,AU,
ROTC,ROBINA TOWN CENTRE,AU,
ROK,ROCKBANK,AU,
ROHM,ROCKINGHAM,AU,
RLY,ROLEYSTONE,AU,
RGS,ROLLINGSTONE,AU,
RKWC,ROOKWOOD CEMETERY,AU,
RSH,ROSEHILL RACECOURSE,AU,
RVB,ROSEVILLE BRIDGE,AU,
RSWD,ROSEWOOD,AU,
RSEW,ROSEWOOD ISLAND,AU,
RRDM,ROSS RIVER DAM,AU,
RLR,ROSSLYNNE RESV,AU,
RMT,ROUND MT,AU,
RCB,RUSH CUTTERS BAY,AU,
RUSS,RUSSELL,AU,
RUIS,RUSSELL ISLAND,AU,
RYB,RYDE BRIDGE,AU,
SADD,SADDLE MT,AU,
SSV,SAMSONVALE,AU,
SAU,SANCTUARY COVE,AU,
SALW,SANDALWOOD,AU,
SSTO,SANDERSTON,AU,
SAND,SANDGATE PIER,AU,
SDP,SANDY PT,AU,
STT,SANTA TERESA,AU,
SJI,SARAJI,AU,
SRIN,SARINA,AU,
SVR,SAVAGE RIVER,AU,
SWTE,SAWTELL,AU,
SWY,SAWYERS VALLEY,AU,
STC,SCOTT CREEK,AU,
STTE,SCOTTSDALE,AU,
SECF,SEA CLIFF BRIDGE,AU,
SVAL,SECOND VALLEY,AU,
SLB,SELLICKS BEACH,AU,
SDS,SHAUNA DOWNS,AU,
SHCR,SHAW CREEK,AU,
SHI,SHAW ISLAND,AU,
SHL,SHELBURNE BAY,AU,
SEL,SHELLEY BRIDGE,AU,
SSG,SIMPSONS GAP,AU,
SKP,SKIPTON,AU,
SLPT,SLADE POINT,AU,
SGK,SLOPING HUMMOCK,AU,
SLP,SLOPING ISLAND,AU,
SMIF,SMITHFIELD,AU,
SYI,SNOWY INTERSECTION,AU,
SOFA,SOFALA,AU,
SRP,SOLDIERS POINT,AU,
SMD,SOMERSET DAM,AU,
SMN,SOMERTON,AU,
SORL,SORELL,AU,
SEC,SOUTH EAST CAPE,AU,
SMIB,SOUTH MISSION BEACH,AU,
SPR,SOUTH PARA RESERVOIR,AU,
SPN,SOUTH PINNACLE,AU,
SDG,SOUTHEDGE,AU,
SBRR,SOUTHERN TIP BERSERKERS,AU,
SPT,SOUTHPORT,AU,
STR,SOUTHPORT ROAD,AU,
SPIT,SPIT BRIDGE,AU,
SRR,SPLIT ROCK RESV,AU,
SOI,SPLIT SOLITARY ISLAND,AU,
SPMT,SPRING MOUNTAIN,AU,
SBK,SPRINGBROOK,AU,
SGM,ST GEORGES MINE,AU,
SHIS,ST HELENA ISLAND,AU,
SIS,ST IVES SHOWGROUND,AU,
SKI,ST KILDA,AU,
SRY,STANSBURY,AU,
SLL,STANWELL PARK,AU,
SPS,STANWELL POWER STN,AU,
SNP,STATION PIER,AU,
STPK,STEPHENSONS PEAK,AU,
SCRK,STONEY CREEK,AU,
SBD,STORY BRIDGE,AU,
STOT,STOTTS ISLAND,AU,
SYN,STRATHALBYN,AU,
SFE,STRATHFINELLA,AU,
STRA,STRATHGORDON,AU,
SLY,STRELLEY HS,AU,
SRO,STROUD ROAD,AU,
SUA,STUART,AU,
STUM,STUMERS CREEK,AU,
SUI,STURT INTERSECTION,AU,
SUB,SUBSTATION,AU,
SUTR,SUGAR TERMINAL,AU,
SLMT,SUGARLOAF MT,AU,
SUG,SUGARLOAF PT,AU,
SGSV,SUGARLOAF RESERVOIR,AU,
SWLD,SUGARWORLD,AU,
SUNZ,SUN ZINC REFINERY,AU,
SBU,SUNBURY,AU,
SWT,SUNBURY WATER TANK,AU,
SBIT,SURBITON,AU,
SUPA,SURFER'S PARADISE,AU,
SUD,SUTHERLAND,AU,
SHER,SUTHERLANDS,AU,
SUE,SUTTON ROAD OVERPASS,AU,
SBCH,SUTTONS BEACH,AU,
SCTY,SYDNEY CBD,AU,
SCG,SYDNEY CRICKET GROUND,AU,
SYHD,SYDNEY HEADS,AU,
SYP,SYMMONS PLAINS,AU,
TBL,TABULAM,AU,
TCH,TALC HEAD,AU,
TLAG,TALLANGATTA,AU,
TLY,TALLANGATTA CAUSEWAY,AU,
TRWL,TALLARINGA WELL,AU,
TLK,TALLAROOK,AU,
TID,TAMAR ISLAND,AU,
TGN,TANGORIN,AU,
TUND,TANUNDA,AU,
TAGO,TARAGO,AU,
TOWI,TARCOWIE,AU,
TRT,TARCUTTA,AU,
TAP,TARGA GAP,AU,
TAR,TARGET,AU,
TLEE,TARLEE,AU,
TAS,TASMAN BRIDGE,AU,
CKO,TELEGRAPH OFFICE,AU,
TPL,TEMPLE BAY,AU,
TLC,TERRANORA LAKES COUNTRY CLUB,AU,
TWT,TEWANTIN,AU,
THAW,THARWA,AU,
TCNR,THE CORNER,AU,
THUM,THE GUMS,AU,
TGU,THE GUMS HS,AU,
TLMI,THE LAKES MINE,AU,
THK,THE OAKS,AU,
PIN,THE PINES,AU,
RCK,THE ROCK,AU,
APST,THE STAMFORD (HOTEL),AU,
WHF,THE WHARF,AU,
THB,THEEBINE,AU,
THSM,THOMPSON 1,AU,
TOML,THOMSONS LAKE,AU,
TORN,THORNTON,AU,
TNP,THORNTON GAP,AU,
TBRT,TIMBERTOP,AU,
TING,TINGALPA RESERVOIR,AU,
TMPT,TOM PRICE,AU,
TOO,TOOBORAC,AU,
TLN,TOOLLEEN,AU,
TOOU,TOOMULLA,AU,
TOGA,TOORONGA,AU,
TOWA,TOWRANA HS,AU,
TVM,TREVALLYN DAM,AU,
TRIN,TRINITY BEACH,AU,
TKER,TUCKER,AU,
TUK,TUCKERS KNOB,AU,
TGC,TUGGERANONG TOWN CENTRE,AU,
TUMB,TUMBULGUM,AU,
TTLE,TURTLE PT,AU,
TWRN,TWO RN,AU,
TOS,TWO ROCKS,AU,
UKER,UKEREBAGH ISLAND,AU,
UDA,ULLADULLA,AU,
UNDW,UNDEMOW WATERHOLE,AU,
UQLD,UNI OF QLD ST LUCIA,AU,
USW,UPPER SWAN,AU,
URAN,URANGAN,AU,
URA,URANQUINTY,AU,
URC,URRBRAE AGRICULTURAL HIGH SCHOOL,AU,
URU,URUNGA,AU,
VTG,VEHICLE TESTING GROUND,AU,
VELO,VELODROME,AU,
VICP,VICTORIA PARK,AU,
VOKH,VOKES HILL,AU,
WGL,WAIGEN LAKES,AU,
WTC,WAITE CAMPUS,AU,
WKT,WALKERSTON,AU,
WBH,WALLABADAH,AU,
WAN,WALLAN,AU,
WGR,WALLANGARRA,AU,
WRO,WALLAROO,AU,
WMB,WALLUMBILLA,AU,
WPE,WALPOLE,AU,
WTBG,WALTER TAYLOR BRIDGE,AU,
WDN,WANDANDIAN,AU,
WAND,WANDERING,AU,
WAT,WANGETTI,AU,
WAG,WANTABADGERY,AU,
WRNA,WAROONA,AU,
WAD,WARRAGAMBA DAM,AU,
WASL,WARRAL SILO,AU,
WRD,WARRANDYTE,AU,
WRR,WARREN RESERVOIR,AU,
WFM,WARWICK FARM,AU,
WFL,WATERFALL,AU,
WAYS,WAYSIDE,AU,
WWN,WEALWANDANGIE,AU,
WCP,WELLCAMP DOWNS,AU,
WELL,WELLINGTON PT,AU,
WLS,WELLSHOT,AU,
WELS,WELSHPOOL,AU,
WBER,WERRIBEE RACECOURSE,AU,
WBES,WERRIBEE SOUTH,AU,
WEK,WERRIS CREEK,AU,
WSM,WEST ARM,AU,
WEBS,WEST BASS,AU,
WTG,WEST GAP,AU,
WSN,WEST LAGOON,AU,
WEP,WEST PT,AU,
WNFE,WESTERN FREEWAY,AU,
WES,WESTGATE BRIDGE,AU,
WMR,WESTMAR,AU,
WST,WESTMEAD,AU,
WTB,WETHERBY,AU,
WHM,WHIM CREEK,AU,
WTRK,WHITE ROCK,AU,
WHW,WHITEWOOD,AU,
WTS,WHITTLESEA,AU,
WIKP,WICKHAM PT,AU,
WHPL,WILD HORSE PLAINS,AU,
WILE,WILLEROO,AU,
WMS,WILLIAMSTOWN,AU,
WICK,WILLIE CREEK,AU,
WIE,WIMMERA,AU,
WDU,WIRRADGURIE,AU,
WSFR,WISEMANS FERRY,AU,
WTHB,WITHNELL BAY,AU,
WHDW,WIVENHOE DAM WALL,AU,
WBK,WOODBROOK,AU,
WOT,WOODGATE,AU,
WOOS,WOODLANDS GOLF COURSE,AU,
WMP,WOODMAN PT,AU,
WYPT,WOODY PT,AU,
WGG,WOOLGOOLGA,AU,
WOI,WOOLLAMIA,AU,
WNK,WOOMANOOKA,AU,
WAM,WOOMARGAMA,AU,
WRM,WOORIM,AU,
WUN,WUNDOWIE,AU,
WUNG,WUNGONG RESERVOIR,AU,
WMF,WYMAH FERRY,AU,
WYR,WYREEMA,AU,
YMA,YAAMBA,AU,
YBU,YABULU,AU,
YKH,YACKANDANDAH,AU,
ALBO,YALBOROO,AU,
YYN,YAN YEAN RESV,AU,
ANDA,YANDARAN,AU,
YNA,YANDINA,AU,
YGB,YANGEBUP LAKE,AU,
YYM,YARINGA YACHT MARINA,AU,
YBH,YARRABAH,AU,
ASST,YASS TOWNSHIP,AU,
ORKT,YORK TOWNSHIP,AU,
YKS,YORKEYS KNOB,AU,
ORNN,YORNANING TOWNSHIP,AU,
ULAB,YULABILLA,AU,
URAR,YURARABA,AU,
ZIN,ZUIZIN ISLAND,AU,
RA,ROMEO ARRIVAL,NL,
RD,ROMEO DEPARTURE,NL,
HA,HOTEL ARRIVAL,NL,
HD,HOTEL DEPARTURE,NL,
MA,MIKE ARRIVAL,NL,
MD,MIKE DEPARTURE,NL,
